PP7435_Chr1-0001	PAS_chr1-3_0003
PP7435_Chr1-1127	PAS_chr1-4_0341
PP7435_Chr1-1128	PAS_chr1-4_0342
PP7435_Chr1-1129	PAS_chr1-4_0343
PP7435_Chr1-1130	PAS_chr1-4_0344
PP7435_Chr1-1131	PAS_chr1-4_0346
PP7435_Chr1-1132	PAS_chr1-4_0347
PP7435_Chr1-1133	no GS115 homolog
PP7435_Chr1-1135	PAS_chr1-4_0350
PP7435_Chr1-1136	PAS_chr1-4_0351
PP7435_Chr1-1138	PAS_chr1-4_0354
PP7435_Chr1-1139	PAS_chr1-4_0355
PP7435_Chr1-1140	PAS_chr1-4_0673
PP7435_Chr1-1141	PAS_chr1-4_0356
PP7435_Chr1-1142	PAS_chr1-4_0357
PP7435_Chr1-1143	PAS_chr1-4_0358
PP7435_Chr1-1144	PAS_chr1-4_0359
PP7435_Chr1-1145	PAS_chr1-4_0360
PP7435_Chr1-1146	PAS_chr1-4_0361
PP7435_Chr1-1147	PAS_chr1-4_0362
PP7435_Chr1-1148	no GS115 homolog
PP7435_Chr1-1149	PAS_chr1-4_0363
PP7435_Chr1-1150	PAS_chr1-4_0364
PP7435_Chr1-1151	PAS_chr1-4_0365
PP7435_Chr1-1152	PAS_chr1-4_0366
PP7435_Chr1-1153	PAS_chr1-4_0367
PP7435_Chr1-1154	PAS_chr1-4_0368
PP7435_Chr1-1155	PAS_chr1-4_0369
PP7435_Chr1-1156	PAS_chr1-4_0674
PP7435_Chr1-1157	PAS_chr1-4_0371
PP7435_Chr1-1158	PAS_chr1-4_0652
PP7435_Chr1-1159	PAS_chr1-4_0372
PP7435_Chr1-1160	PAS_chr1-4_0373
PP7435_Chr1-1161	PAS_chr1-4_0374
PP7435_Chr1-1162	PAS_chr1-4_0375
PP7435_Chr1-1163	PAS_chr1-4_0376
PP7435_Chr1-1164	PAS_chr1-4_0377
PP7435_Chr1-1165	PAS_chr1-4_0378
PP7435_Chr1-1166	PAS_chr1-4_0379
PP7435_Chr1-1167	
PP7435_Chr1-1168	PAS_chr1-4_0380
PP7435_Chr1-1169	PAS_chr1-4_0381
PP7435_Chr1-1170	PAS_chr1-4_0382
PP7435_Chr1-1171	PAS_chr1-4_0383
PP7435_Chr1-1172	PAS_chr1-4_0384
PP7435_Chr1-1173	PAS_chr1-4_0385
PP7435_Chr1-1174	PAS_chr1-4_0388
PP7435_Chr1-1175	PAS_chr1-4_0389
PP7435_Chr1-1176	PAS_chr1-4_0390
PP7435_Chr1-1177	PAS_chr1-4_0391
PP7435_Chr1-1178	PAS_chr1-4_0392
PP7435_Chr1-1179	PAS_chr1-4_0393
PP7435_Chr1-1180	
PP7435_Chr1-1181	PAS_chr1-4_0675
PP7435_Chr1-1182	PAS_chr1-4_0394
PP7435_Chr1-1183	PAS_chr1-4_0395
PP7435_Chr1-1184	PAS_chr1-4_0396
PP7435_Chr1-1185	PAS_chr1-4_0676
PP7435_Chr1-1186	PAS_chr1-4_0397
PP7435_Chr1-1187	PAS_chr1-4_0398
PP7435_Chr1-1189	PAS_chr1-4_0400
PP7435_Chr1-1190	PAS_chr1-4_0678
PP7435_Chr1-1191	PAS_chr1-4_0401
PP7435_Chr1-1192	PAS_chr1-4_0402
PP7435_Chr1-1193	PAS_chr1-4_0403
PP7435_Chr1-1194	PAS_chr1-4_0404
PP7435_Chr1-1195	PAS_chr1-4_0405
PP7435_Chr1-1196	PAS_chr1-4_0406
PP7435_Chr1-1197	PAS_chr1-4_0407
PP7435_Chr1-1198	PAS_chr1-4_0408
PP7435_Chr1-1199	PAS_chr1-4_0409
PP7435_Chr1-1200	PAS_chr1-4_0410
PP7435_Chr1-1201	PAS_chr1-4_0411
PP7435_Chr1-1202	PAS_chr1-4_0412
PP7435_Chr1-1203	PAS_chr1-4_0413
PP7435_Chr1-1204	PAS_chr1-4_0679
PP7435_Chr1-1205	PAS_chr1-4_0414
PP7435_Chr1-1206	PAS_chr1-4_0415
PP7435_Chr1-1207	PAS_chr1-4_0416
PP7435_Chr1-1208	PAS_chr1-4_0417
PP7435_Chr1-1209	PAS_chr1-4_0418
PP7435_Chr1-1210	PAS_chr1-4_0419
PP7435_Chr1-1211	PAS_chr1-4_0420
PP7435_Chr1-1212	PAS_chr1-4_0421
PP7435_Chr1-1213	PAS_chr1-4_0422
PP7435_Chr1-1214	PAS_chr1-4_0680
PP7435_Chr1-1215	PAS_chr1-4_0423
PP7435_Chr1-1216	PAS_chr1-4_0424
PP7435_Chr1-1217	PAS_chr1-4_0425
PP7435_Chr1-1218	PAS_chr1-4_0426
PP7435_Chr1-1220	PAS_chr1-4_0428
PP7435_Chr1-1221	PAS_chr1-4_0429
PP7435_Chr1-1222	PAS_chr1-4_0430
PP7435_Chr1-1223	
PP7435_Chr1-1224	
PP7435_Chr1-1225	PAS_chr1-4_0431
PP7435_Chr1-1226	
PP7435_Chr1-1227	PAS_chr1-4_0432
PP7435_Chr1-1228	PAS_chr1-4_0433
PP7435_Chr1-1229	PAS_chr1-4_0434
PP7435_Chr1-1230	PAS_chr1-4_0435
PP7435_Chr1-1231	PAS_chr1-4_0436
PP7435_Chr1-1233	PAS_chr1-4_0438
PP7435_Chr1-1234	PAS_chr1-4_0439
PP7435_Chr1-1235	PAS_chr1-4_0440
PP7435_Chr1-1236	PAS_chr1-4_0441
PP7435_Chr1-1237	PAS_chr1-4_0442
PP7435_Chr1-1238	PAS_chr1-4_0443
PP7435_Chr1-1239	PAS_chr1-4_0444
PP7435_Chr1-1240	PAS_chr1-4_0445
PP7435_Chr1-1241	PAS_chr1-4_0446
PP7435_Chr1-1242	PAS_chr1-4_0447
PP7435_Chr1-1243	PAS_chr1-4_0448
PP7435_Chr1-1244	PAS_chr1-4_0449
PP7435_Chr1-1245	PAS_chr1-4_0450
PP7435_Chr1-1246	PAS_chr1-4_0451
PP7435_Chr1-1247	PAS_chr1-4_0452
PP7435_Chr1-1248	PAS_chr1-4_0453
PP7435_Chr1-1249	PAS_chr1-4_0454
PP7435_Chr1-1250	PAS_chr1-4_0682
PP7435_Chr1-1251	PAS_chr1-4_0455
PP7435_Chr1-1252	PAS_chr1-4_0456
PP7435_Chr1-1253	PAS_chr1-4_0457
PP7435_Chr1-1254	PAS_chr1-4_0458
PP7435_Chr1-1255	PAS_chr1-4_0459
PP7435_Chr1-1256	PAS_chr1-4_0460
PP7435_Chr1-1257	PAS_chr1-4_0461
PP7435_Chr1-1258	no GS115 homolog
PP7435_Chr1-1259	PAS_chr1-4_0462
PP7435_Chr1-1260	PAS_chr1-4_0463
PP7435_Chr1-1261	PAS_chr1-4_0464
PP7435_Chr1-1262	PAS_chr1-4_0465
PP7435_Chr1-1263	
PP7435_Chr1-1264	
PP7435_Chr1-1265	
PP7435_Chr1-1266	
PP7435_Chr1-1267	
PP7435_Chr1-1268	PAS_chr1-4_0466
PP7435_Chr1-1269	PAS_chr1-4_0467
PP7435_Chr1-1270	PAS_chr1-4_0468
PP7435_Chr1-1271	PAS_chr1-4_0469
PP7435_Chr1-1272	PAS_chr1-4_0470
PP7435_Chr1-1273	PAS_chr1-4_0471
PP7435_Chr1-1274	PAS_chr1-4_0472
PP7435_Chr1-1275	PAS_chr1-4_0473
PP7435_Chr1-1276	PAS_chr1-4_0474
PP7435_Chr1-1277	PAS_chr1-4_0475
PP7435_Chr1-1278	PAS_chr1-4_0476
PP7435_Chr1-1279	PAS_chr1-4_0683
PP7435_Chr1-1280	PAS_chr1-4_0478
PP7435_Chr1-1281	PAS_chr1-4_0479
PP7435_Chr1-1282	PAS_chr1-4_0480
PP7435_Chr1-1283	PAS_chr1-4_0481
PP7435_Chr1-1284	PAS_chr1-4_0482
PP7435_Chr1-1285	PAS_chr1-4_0483
PP7435_Chr1-1286	PAS_chr1-4_0484
PP7435_Chr1-1287	PAS_chr1-4_0485
PP7435_Chr1-1288	PAS_chr1-4_0486
PP7435_Chr1-1289	PAS_chr1-4_0487
PP7435_Chr1-1290	PAS_chr1-4_0684
PP7435_Chr1-1291	PAS_chr1-4_0488
PP7435_Chr1-1292	PAS_chr1-4_0489
PP7435_Chr1-1293	PAS_chr1-4_0490
PP7435_Chr1-1294	PAS_chr1-4_0491
PP7435_Chr1-1295	PAS_chr1-4_0492
PP7435_Chr1-1296	PAS_chr1-4_0493
PP7435_Chr1-1297	homolog not anymore annotated
PP7435_Chr1-1298	PAS_chr1-4_0495
PP7435_Chr1-1299	PAS_chr1-4_0496
PP7435_Chr1-1300	PAS_chr1-4_0685
PP7435_Chr1-1301	PAS_chr1-4_0497
PP7435_Chr1-1302	PAS_chr1-4_0498
PP7435_Chr1-1303	PAS_chr1-4_0499
PP7435_Chr1-1304	PAS_chr1-4_0500
PP7435_Chr1-1305	PAS_chr1-4_0501
PP7435_Chr1-1306	PAS_chr1-4_0502
PP7435_Chr1-1307	PAS_chr1-4_0503
PP7435_Chr1-1309	PAS_chr1-4_0508
PP7435_Chr1-1311	PAS_chr1-4_0511
PP7435_Chr1-1312	PAS_chr1-4_0512
PP7435_Chr1-1313	PAS_chr1-4_0513
PP7435_Chr1-1314	PAS_chr1-4_0514
PP7435_Chr1-1315	PAS_chr1-4_0515
PP7435_Chr1-1316	PAS_chr1-4_0516
PP7435_Chr1-1317	PAS_chr1-4_0517
PP7435_Chr1-1318	PAS_chr1-4_0518
PP7435_Chr1-1319	PAS_chr1-4_0519
PP7435_Chr1-1320	PAS_chr1-4_0520
PP7435_Chr1-1321	PAS_chr1-4_0521
PP7435_Chr1-1323	PAS_chr1-4_0524
PP7435_Chr1-1324	PAS_chr1-4_0525
PP7435_Chr1-1325	PAS_chr1-4_0526
PP7435_Chr1-1326	PAS_chr1-4_0686
PP7435_Chr1-1327	PAS_chr1-4_0527
PP7435_Chr1-1328	PAS_chr1-4_0528
PP7435_Chr1-1329	PAS_chr1-4_0529
PP7435_Chr1-1330	PAS_chr1-4_0530
PP7435_Chr1-1331	PAS_chr1-4_0531
PP7435_Chr1-1332	PAS_chr1-4_0532
PP7435_Chr1-1333	
PP7435_Chr1-1334	PAS_chr1-4_0533
PP7435_Chr1-1335	PAS_chr1-4_0534
PP7435_Chr1-1336	PAS_chr1-4_0535
PP7435_Chr1-1337	PAS_chr1-4_0687
PP7435_Chr1-1338	PAS_chr1-4_0536
PP7435_Chr1-1339	PAS_chr1-4_0537
PP7435_Chr1-1340	PAS_chr1-4_0688
PP7435_Chr1-1341	PAS_chr1-4_0538
PP7435_Chr1-1342	PAS_chr1-4_0539
PP7435_Chr1-1343	PAS_chr1-4_0540
PP7435_Chr1-1344	PAS_chr1-4_0541
PP7435_Chr1-1345	PAS_chr1-4_0542
PP7435_Chr1-1346	PAS_chr1-4_0543
PP7435_Chr1-1347	PAS_chr1-4_0544
PP7435_Chr1-1348	PAS_chr1-4_0545
PP7435_Chr1-1349	PAS_chr1-4_0689
PP7435_Chr1-1350	PAS_chr1-4_0546
PP7435_Chr1-1351	PAS_chr1-4_0547
PP7435_Chr1-1352	PAS_chr1-4_0548
PP7435_Chr1-1353	PAS_chr1-4_0549
PP7435_Chr1-1354	PAS_chr1-4_0550
PP7435_Chr1-1355	PAS_chr1-4_0551
PP7435_Chr1-1356	PAS_chr1-4_0552
PP7435_Chr1-1357	PAS_chr1-4_0553
PP7435_Chr1-1358	PAS_chr1-4_0555
PP7435_Chr1-1359	PAS_chr1-4_0556
PP7435_Chr1-1360	PAS_chr1-4_0557
PP7435_Chr1-1362	PAS_chr1-4_0561
PP7435_Chr1-1363	no GS115 homolog
PP7435_Chr1-1364	PAS_chr1-4_0562
PP7435_Chr1-1365	no GS115 homolog
PP7435_Chr1-1366	PAS_chr1-4_0563
PP7435_Chr1-1367	PAS_chr1-4_0564
PP7435_Chr1-1368	PAS_chr1-4_0565
PP7435_Chr1-1369	PAS_chr1-4_0566
PP7435_Chr1-1370	PAS_chr1-4_0567
PP7435_Chr1-1371	PAS_chr1-4_0568
PP7435_Chr1-1372	PAS_chr1-4_0569
PP7435_Chr1-1373	
PP7435_Chr1-1374	PAS_chr1-4_0570
PP7435_Chr1-1375	PAS_chr1-4_0690
PP7435_Chr1-1376	PAS_chr1-4_0571
PP7435_Chr1-1377	PAS_chr1-4_0572
PP7435_Chr1-1378	PAS_chr1-4_0573
PP7435_Chr1-1380	PAS_chr1-4_0575
PP7435_Chr1-1381	PAS_chr1-4_0576
PP7435_Chr1-1382	PAS_chr1-4_0577
PP7435_Chr1-1383	PAS_chr1-4_0578
PP7435_Chr1-1384	PAS_chr1-4_0579
PP7435_Chr1-1385	PAS_chr1-4_0580
PP7435_Chr1-1386	
PP7435_Chr1-1387	PAS_chr1-4_0581
PP7435_Chr1-1388	PAS_chr1-4_0582
PP7435_Chr1-1389	PAS_chr1-4_0584
PP7435_Chr1-1390	PAS_chr1-4_0585
PP7435_Chr1-1391	PAS_chr1-4_0586
PP7435_Chr1-1392	PAS_chr1-4_0587
PP7435_Chr1-1393	PAS_chr1-4_0691
PP7435_Chr1-1394	
PP7435_Chr1-1395	PAS_chr1-4_0588
PP7435_Chr1-1396	PAS_chr1-4_0589
PP7435_Chr1-1397	PAS_chr1-4_0590
PP7435_Chr1-1398	PAS_chr1-4_0591
PP7435_Chr1-1399	PAS_chr1-4_0692
PP7435_Chr1-1400	PAS_chr1-4_0592
PP7435_Chr1-1401	PAS_chr1-4_0593
PP7435_Chr1-1404	PAS_chr1-4_0595
PP7435_Chr1-1405	PAS_chr1-4_0596
PP7435_Chr1-1406	PAS_chr1-4_0597
PP7435_Chr1-1407	PAS_chr1-4_0598
PP7435_Chr1-1408	PAS_chr1-4_0599
PP7435_Chr1-1409	PAS_chr1-4_0600
PP7435_Chr1-1410	PAS_chr1-4_0601
PP7435_Chr1-1411	PAS_chr1-4_0602
PP7435_Chr1-1412	PAS_chr1-4_0603
PP7435_Chr1-1413	PAS_chr1-4_0604
PP7435_Chr1-1414	PAS_chr1-4_0605
PP7435_Chr1-1415	PAS_chr1-4_0606
PP7435_Chr1-1416	PAS_chr1-4_0606
PP7435_Chr1-1417	PAS_chr1-4_0607
PP7435_Chr1-1418	PAS_chr1-4_0608
PP7435_Chr1-1419	PAS_chr1-4_0609
PP7435_Chr1-1420	PAS_chr1-4_0610
PP7435_Chr1-1421	PAS_chr1-4_0611
PP7435_Chr1-1422	
PP7435_Chr1-1423	PAS_chr1-4_0612
PP7435_Chr1-1424	PAS_chr1-4_0613
PP7435_Chr1-1426	PAS_chr1-4_0616
PP7435_Chr1-1427	PAS_chr1-4_0617
PP7435_Chr1-1428	PAS_chr1-4_0618
PP7435_Chr1-1429	PAS_chr1-4_0619
PP7435_Chr1-1430	PAS_chr1-4_0620
PP7435_Chr1-1431	PAS_chr1-4_0696
PP7435_Chr1-1432	PAS_chr1-4_0621
PP7435_Chr1-1433	PAS_chr1-4_0622
PP7435_Chr1-1434	PAS_chr1-4_0623
PP7435_Chr1-1435	PAS_chr1-4_0624
PP7435_Chr1-1436	PAS_chr1-4_0625
PP7435_Chr1-1437	PAS_chr1-4_0626
PP7435_Chr1-1438	PAS_chr1-4_0627
PP7435_Chr1-1439	PAS_chr1-4_0628
PP7435_Chr1-1440	PAS_chr1-4_0629
PP7435_Chr1-1442	PAS_chr1-4_0631
PP7435_Chr1-1443	PAS_chr1-4_0632
PP7435_Chr1-1444	PAS_chr1-4_0633
PP7435_Chr1-1445	PAS_chr1-4_0634
PP7435_Chr1-1446	PAS_chr1-4_0635
PP7435_Chr1-1447	PAS_chr1-4_0636
PP7435_Chr1-1448	PAS_chr1-4_0637
PP7435_Chr1-1449	PAS_chr1-4_0638
PP7435_Chr1-1450	PAS_chr1-4_0639
PP7435_Chr1-1451	PAS_chr1-4_0640
PP7435_Chr1-1452	PAS_chr1-4_0641
PP7435_Chr1-1453	PAS_chr1-4_0642
PP7435_Chr1-1454	PAS_chr1-4_0643
PP7435_Chr1-1455	PAS_chr1-4_0644
PP7435_Chr1-1457	PAS_chr1-4_0646
PP7435_Chr1-1459	PAS_chr1-4_0648
PP7435_Chr1-1460	PAS_chr1-4_0649
PP7435_Chr1-1461	PAS_chr1-4_0650
PP7435_Chr1-1462	PAS_chr1-4_0651
PP7435_Chr1-1463	PAS_c121_0002
PP7435_Chr1-1464	PAS_c121_0003
PP7435_Chr1-1465	PAS_c121_0004
PP7435_Chr1-1466	PAS_c121_0018
PP7435_Chr1-1467	PAS_c121_0005
PP7435_Chr1-1468	PAS_c121_0006
PP7435_Chr1-1469	PAS_c121_0007
PP7435_Chr1-1470	PAS_c121_0008
PP7435_Chr1-1471	PAS_c121_0009
PP7435_Chr1-1472	PAS_c121_0010
PP7435_Chr1-1474	PAS_c121_0012
PP7435_Chr1-1475	PAS_c121_0019
PP7435_Chr1-1476	PAS_c121_0013
PP7435_Chr1-1477	PAS_c121_0014
PP7435_Chr1-1478	PAS_c121_0015
PP7435_Chr1-1479	PAS_c121_0016
PP7435_Chr1-1480	PAS_c121_0017
PP7435_Chr1-1482	PAS_FragB_0003
PP7435_Chr1-1483	PAS_FragB_0004
PP7435_Chr1-1484	PAS_FragB_0005
PP7435_Chr1-1485	PAS_FragB_0006
PP7435_Chr1-1486	PAS_FragB_0007
PP7435_Chr1-1487	PAS_FragB_0008
PP7435_Chr1-1488	PAS_FragB_0009
PP7435_Chr1-1489	PAS_FragB_0010
PP7435_Chr1-1490	PAS_FragB_0011
PP7435_Chr1-1491	PAS_FragB_0012
PP7435_Chr1-1492	PAS_FragB_0072
PP7435_Chr1-1493	no GS115 homolog
PP7435_Chr1-1494	PAS_FragB_0013
PP7435_Chr1-1495	PAS_FragB_0014
PP7435_Chr1-1496	PAS_FragB_0015
PP7435_Chr1-1498	
PP7435_Chr1-1499	
PP7435_Chr1-1500	PAS_FragB_0019
PP7435_Chr1-1501	PAS_FragB_0020
PP7435_Chr1-1502	no GS115 homolog
PP7435_Chr1-1503	PAS_FragB_0073
PP7435_Chr1-1504	PAS_FragB_0022
PP7435_Chr1-1505	PAS_FragB_0023
PP7435_Chr1-1506	PAS_FragB_0024
PP7435_Chr1-1507	PAS_FragB_0025
PP7435_Chr1-1508	PAS_FragB_0026
PP7435_Chr1-1509	PAS_FragB_0027
PP7435_Chr1-1510	PAS_FragB_0028
PP7435_Chr1-1511	PAS_FragB_0029
PP7435_Chr1-1512	PAS_FragB_0030
PP7435_Chr1-1513	PAS_FragB_0031
PP7435_Chr1-1514	no GS115 homolog
PP7435_Chr1-1515	PAS_FragB_0032
PP7435_Chr1-1516	PAS_FragB_0034
PP7435_Chr1-1517	PAS_FragB_0035
PP7435_Chr1-1518	PAS_FragB_0036
PP7435_Chr1-1519	PAS_FragB_0037
PP7435_Chr1-1520	PAS_FragB_0038
PP7435_Chr1-1521	PAS_FragB_0074
PP7435_Chr1-1522	PAS_FragB_0075
PP7435_Chr1-1523	PAS_FragB_0039
PP7435_Chr1-1524	PAS_FragB_0076
PP7435_Chr1-1525	PAS_FragB_0040
PP7435_Chr1-1527	PAS_FragB_0042
PP7435_Chr1-1528	PAS_FragB_0043
PP7435_Chr1-1530	PAS_FragB_0046
PP7435_Chr1-1531	PAS_FragB_0048
PP7435_Chr1-1532	PAS_FragB_0049
PP7435_Chr1-1533	PAS_FragB_0050
PP7435_Chr1-1534	PAS_FragB_0051
PP7435_Chr1-1535	PAS_FragB_0052
PP7435_Chr1-1537	PAS_FragB_0055
PP7435_Chr1-1538	PAS_FragB_0056
PP7435_Chr1-1539	PAS_FragB_0057
PP7435_Chr1-1541	PAS_FragB_0059
PP7435_Chr1-1542	PAS_FragB_0061
PP7435_Chr1-1543	PAS_FragB_0062
PP7435_Chr1-1544	PAS_FragB_0063
PP7435_Chr1-1545	PAS_FragB_0064
PP7435_Chr1-1546	PAS_FragB_0077
PP7435_Chr1-1547	PAS_FragB_0065
PP7435_Chr1-1548	PAS_FragB_0066
PP7435_Chr1-1549	PAS_FragB_0067
PP7435_Chr1-1550	homolog not anymore annotated
PP7435_Chr1-1551	PAS_c034_0039
PP7435_Chr1-1552	no GS115 homolog
PP7435_Chr1-1553	PAS_c034_0038
PP7435_Chr1-1554	PAS_c034_0037
PP7435_Chr1-1555	PAS_c034_0036
PP7435_Chr1-1556	PAS_c034_0035
PP7435_Chr1-1557	PAS_c034_0034
PP7435_Chr1-1558	PAS_c034_0033
PP7435_Chr1-1559	PAS_c034_0032
PP7435_Chr1-1560	PAS_c034_0031
PP7435_Chr1-1561	PAS_c034_0030
PP7435_Chr1-1562	PAS_c034_0029
PP7435_Chr1-1563	PAS_c034_0028
PP7435_Chr1-1564	PAS_c034_0027
PP7435_Chr1-1565	PAS_c034_0026
PP7435_Chr1-1566	PAS_c034_0025
PP7435_Chr1-1567	PAS_c034_0024
PP7435_Chr1-1568	PAS_c034_0023
PP7435_Chr1-1569	PAS_c034_0022
PP7435_Chr1-1570	PAS_c034_0021
PP7435_Chr1-1571	PAS_c034_0019
PP7435_Chr1-1572	
PP7435_Chr1-1573	PAS_c034_0018
PP7435_Chr1-1574	PAS_c034_0016
PP7435_Chr1-1575	no GS115 homolog
PP7435_Chr1-1576	PAS_c034_0015
PP7435_Chr1-1577	PAS_c034_0014
PP7435_Chr1-1578	PAS_c034_0013
PP7435_Chr1-1579	PAS_c034_0012
PP7435_Chr1-1580	PAS_c034_0011
PP7435_Chr1-1581	PAS_c034_0010
PP7435_Chr1-1582	PAS_c034_0008
PP7435_Chr1-1583	PAS_c034_0007
PP7435_Chr1-1584	no GS115 homolog
PP7435_Chr1-1585	PAS_c034_0004
PP7435_Chr1-1586	no GS115 homolog
PP7435_Chr1-1587	PAS_c034_0002
PP7435_Chr1-1588	
PP7435_Chr1-1592	
PP7435_Chr1-1598	no GS115 homolog
PP7435_Chr1-1609	homolog not anymore annotated
PP7435_Chr1-1620	no GS115 homolog
PP7435_Chr1-1642	PAS_chr1-3_0062
PP7435_Chr1-1653	PAS_chr1-3_0075
PP7435_Chr1-1664	PAS_chr1-3_0076
PP7435_Chr1-1697	PAS_chr1-3_0091
PP7435_Chr1-1708	PAS_chr1-3_0133
PP7435_Chr1-1719	no GS115 homolog
PP7435_Chr1-1730	PAS_chr1-3_0158
PP7435_Chr1-1741	PAS_chr1-3_0167
PP7435_Chr1-1752	PAS_chr1-3_0168
PP7435_Chr1-1763	PAS_chr1-3_0171
PP7435_Chr1-1774	PAS_chr1-3_0172
PP7435_Chr1-1785	PAS_chr1-3_0303
PP7435_Chr1-1796	PAS_chr1-3_0176
PP7435_Chr1-1807	PAS_chr1-3_0189
PP7435_Chr1-1818	PAS_chr1-3_0190
PP7435_Chr1-1829	no GS115 homolog
PP7435_Chr1-1840	PAS_chr1-3_0259
PP7435_Chr1-1851	PAS_chr1-3_0277
PP7435_Chr1-1862	PAS_chr1-3_0279
PP7435_Chr1-1873	PAS_chr1-3_0312
PP7435_Chr1-1884	
PP7435_Chr1-1895	
PP7435_Chr1-1906	PAS_chr1-1_0459
PP7435_Chr1-1917	PAS_chr1-1_0461
PP7435_Chr1-1928	no GS115 homolog
PP7435_Chr1-1939	PAS_chr1-1_0023
PP7435_Chr1-1961	PAS_chr1-1_0469
PP7435_Chr1-1972	PAS_chr1-1_0070
PP7435_Chr1-1994	PAS_chr1-1_0470
PP7435_Chr1-2005	homolog not anymore annotated
PP7435_Chr1-2016	PAS_chr1-1_0081
PP7435_Chr1-2027	PAS_chr1-1_0471
PP7435_Chr1-2038	PAS_chr1-1_0094
PP7435_Chr1-2049	PAS_chr1-1_0472
PP7435_Chr1-2060	PAS_chr1-1_0100
PP7435_Chr1-2071	no GS115 homolog
PP7435_Chr1-2082	PAS_chr1-1_0144
PP7435_Chr1-2093	no GS115 homolog
PP7435_Chr1-2104	PAS_chr1-1_0479
PP7435_Chr1-2115	PAS_chr1-1_0159
PP7435_Chr1-2126	PAS_chr1-1_0177
PP7435_Chr1-2137	PAS_chr1-1_0178
PP7435_Chr1-2148	PAS_chr1-1_0229
PP7435_Chr1-2159	PAS_chr1-1_0239
PP7435_Chr1-2170	PAS_chr1-1_0486
PP7435_Chr1-2181	PAS_chr1-1_0240
PP7435_Chr1-2192	PAS_chr1-1_0491
PP7435_Chr1-2203	PAS_chr1-1_0290
PP7435_Chr1-2214	no GS115 homolog
PP7435_Chr1-2225	PAS_chr1-1_0333
PP7435_Chr1-2236	PAS_chr1-1_0338
PP7435_Chr1-2247	PAS_chr1-1_0339
PP7435_Chr1-2258	PAS_chr1-1_0498
PP7435_Chr1-2280	homolog not anymore annotated
PP7435_Chr1-2291	PAS_chr1-1_0349
PP7435_Chr1-2302	PAS_chr1-1_0350
PP7435_Chr1-2313	no GS115 homolog
PP7435_Chr1-2324	PAS_chr1-1_0375
PP7435_Chr1-2335	PAS_chr1-1_0501
PP7435_Chr1-2346	PAS_chr1-1_0376
PP7435_Chr1-2357	no GS115 homolog
PP7435_Chr1-2368	PAS_chr1-1_0404
PP7435_Chr1-2379	PAS_chr1-1_0405
PP7435_Chr1-2390	no GS115 homolog
PP7435_Chr1-2401	no GS115 homolog
PP7435_Chr1-2412	PAS_chr1-1_0414
PP7435_Chr1-2423	PAS_chr1-1_0415
PP7435_Chr1-2434	PAS_chr1-1_0423
PP7435_Chr1-2445	PAS_chr1-1_0438
PP7435_Chr1-2456	no GS115 homolog
PP7435_Chr1-2467	PAS_chr1-1_0451
PP7435_Chr1-2478	PAS_chr1-4_0002
PP7435_Chr1-2489	PAS_chr1-4_0003
PP7435_Chr1-2500	PAS_chr1-4_0005
PP7435_Chr1-2511	no GS115 homolog
PP7435_Chr1-2522	no GS115 homolog
PP7435_Chr1-2533	PAS_chr1-4_0025
PP7435_Chr1-2544	PAS_chr1-4_0026
PP7435_Chr1-2555	PAS_chr1-4_0027
PP7435_Chr1-2566	no GS115 homolog
PP7435_Chr1-2577	no GS115 homolog
PP7435_Chr1-2588	PAS_chr1-4_0059
PP7435_Chr1-2599	no GS115 homolog
PP7435_Chr1-2621	PAS_chr1-4_0062
PP7435_Chr1-2632	PAS_chr1-4_0654
PP7435_Chr1-2643	PAS_chr1-4_0063
PP7435_Chr1-2654	no GS115 homolog
PP7435_Chr1-2665	PAS_chr1-4_0064
PP7435_Chr1-2676	PAS_chr1-4_0070
PP7435_Chr1-2687	PAS_chr1-4_0097
PP7435_Chr1-2698	PAS_chr1-4_0110
PP7435_Chr1-2709	PAS_chr1-4_0111
PP7435_Chr1-2720	no GS115 homolog
PP7435_Chr1-2731	PAS_chr1-4_0119
PP7435_Chr1-2742	PAS_chr1-4_0120
PP7435_Chr1-2753	PAS_chr1-4_0121
PP7435_Chr1-2764	PAS_chr1-4_0661
PP7435_Chr1-2775	PAS_chr1-4_0208
PP7435_Chr1-2786	PAS_chr1-4_0697
PP7435_Chr1-2797	PAS_chr1-4_0276
PP7435_Chr1-2808	PAS_chr1-4_0670
PP7435_Chr1-2819	PAS_chr1-4_0328
PP7435_Chr1-2830	PAS_chr1-4_0331
PP7435_Chr1-2841	PAS_chr1-4_0348
PP7435_Chr1-2852	PAS_chr1-4_0349
PP7435_Chr1-2863	PAS_chr1-4_0352
PP7435_Chr1-2874	PAS_chr1-4_0353
PP7435_Chr1-2885	PAS_chr1-4_0370
PP7435_Chr1-2896	no GS115 homolog
PP7435_Chr1-2907	PAS_chr1-4_0700
PP7435_Chr1-2918	PAS_chr1-4_0399
PP7435_Chr1-2929	PAS_chr1-4_0677
PP7435_Chr1-2940	PAS_chr1-4_0427
PP7435_Chr1-2951	PAS_chr1-4_0437
PP7435_Chr1-2962	PAS_chr1-4_0681
PP7435_Chr1-2973	no GS115 homolog
PP7435_Chr1-2995	PAS_chr1-4_0504
PP7435_Chr1-3006	PAS_chr1-4_0506
PP7435_Chr1-3017	PAS_chr1-4_0507
PP7435_Chr1-3028	PAS_chr1-4_0510
